meta_analytical_study,studyid,sources,country,lat,lon,experiment_type,crop,crop_type,water_magement,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,scn,bph,btc,btn,bcn,brate,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,yield_unit,nuec_mean,nuec_sd,nuec_n,nuer_mean,nuer_sd,nuer_n,socc_mean,socc_sd,socc_n,socr_mean,socr_sd,socr_n,phc_mean,phc_sd,phc_n,phr_mean,phr_sd,phr_n,sbdc_mean,sbdc_sd,sbdc_n,sbdr_mean,sbdr_sd,sbdr_n,yi,vi
Han22,1,Dai  et al. (2021),China,35.200000000000003,107.66670000000001,field,maize,grain,rainfed,725,225,150,75,75,loam,1.4,5.45,9.5,0.85,11.7469879518072,9.47,467.2,8.1,60.5527123848516,14,8049.1,530.3310517,3,8603.1,514.8267102,3,kg/ha/yr,53.6606666666667,3.09385939733333,3,53.6606666666667,2.82544874266667,3,,,,,,,,,,,,,,,,,,,,
Han22,2,Haque  et al. (2021）,Malaysia,3.4666999999999999,101.13330000000001,pot,rice,grain,irrigation and rain,525,225,121,29,100,clay,1.44,5.14,5.36,0.4,13.4,7.12,24.86,0.38,65.421052631579,10,210.15,13.84615305,4,241.12,14.42910304,4,g/pot,1.73677685950413,0.10013560661157,4,1.99272727272727,0.104925061818182,4,40.5,2.511,4,68.1,4.3584,4,5.27,0.07905,4,6.2,0.558,4,,,,,,,,
Han22,3,Haque  et al. (2021）,Malaysia,3.4666999999999999,101.13330000000001,pot,rice,grain,irrigation and rain,525,225,121,29,100,clay,1.44,5.14,5.36,0.4,13.4,8.5,52.11,1.13,46.1150442477876,10,210.15,13.84615305,4,235.15,14.0718463,4,g/pot,1.73677685950413,0.10013560661157,4,1.94338842975207,0.102327174380165,4,40.5,2.511,4,70.5,4.512,4,5.27,0.07905,4,6.37,0.5733,4,,,,,,,,
Han22,4,Haque  et al. (2021）,Malaysia,3.4666999999999999,101.13330000000001,pot,rice,grain,irrigation and rain,525,225,121,29,100,clay,1.44,5.14,5.36,0.4,13.4,7.12,24.86,0.38,65.421052631579,10,211.13,13.91072231,4,239.55,14.3351511,4,g/pot,1.74487603305785,0.100602572561983,4,1.9797520661157,0.104241865289256,4,58,3.596,4,69,4.416,4,5.84,0.0876,4,6.32,0.5688,4,,,,,,,,
Han22,5,Haque  et al. (2021）,Malaysia,3.4666999999999999,101.13330000000001,pot,rice,grain,irrigation and rain,525,225,121,29,100,clay,1.44,5.14,5.36,0.4,13.4,8.5,52.11,1.13,46.1150442477876,10,211.13,13.91072231,4,234.7,14.0449174,4,g/pot,1.74487603305785,0.100602572561983,4,1.9396694214876,0.102131353719008,4,58,3.596,4,71.7,4.5888,4,5.84,0.0876,4,6.55,0.5895,4,,,,,,,,
Han22,6,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.85,11.7469879518072,9,47.2,0.7,67.4285714285714,45,12010,320,3,14050,790,3,ton/ha/yr,35.4277286135693,2.04262112094395,3,41.4454277286136,2.18226755162242,3,,,,,,,8.31111,0.0307700000000004,3,8.34188,0.041030000000001,3,,,,,,,,
Han22,7,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.85,11.7469879518072,9,47.2,0.7,67.4285714285714,30,12010,320,3,14280,1170,3,ton/ha/yr,35.4277286135693,2.04262112094395,3,42.1238938053097,2.21799150442478,3,,,,,,,8.31111,0.0307700000000004,3,8.38974,0.0581200000000006,3,,,,,,,,
Han22,8,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.85,11.7469879518072,9,47.2,0.7,67.4285714285714,15,12010,320,3,14580,1430,3,ton/ha/yr,35.4277286135693,2.04262112094395,3,43.0088495575221,2.26458796460177,3,,,,,,,8.31111,0.0307700000000004,3,8.30085,0.0307699999999986,3,,,,,,,,
Han22,9,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.85,11.7469879518072,9,47.2,0.7,67.4285714285714,30,11880,870,3,12370,570,3,ton/ha/yr,35.0442477876106,2.02051115044248,3,36.4896755162242,1.92132737463127,3,,,,,,,8.45172,0.0482800000000001,3,8.54138,0.0482800000000001,3,,,,,,,,
Han22,10,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.85,11.7469879518072,9,47.2,0.7,67.4285714285714,45,11880,870,3,12180,890,3,ton/ha/yr,35.0442477876106,2.02051115044248,3,35.929203539823,1.89181628318584,3,,,,,,,8.45172,0.0482800000000001,3,8.64483,0.0551699999999986,3,,,,,,,,
Han22,11,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.85,11.7469879518072,9,47.2,0.7,67.4285714285714,15,11880,870,3,12670,1210,3,ton/ha/yr,35.0442477876106,2.02051115044248,3,37.3746312684366,1.96792383480826,3,,,,,,,8.45172,0.0482800000000001,3,8.58966,0.0413700000000006,3,,,,,,,,
Han22,12,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.85,11.7469879518072,9,47.2,0.7,67.4285714285714,45,12800,1100,3,14470,1500,3,ton/ha/yr,37.7581120943953,2.17698171091445,3,42.6843657817109,2.24750259587021,3,,,,,,,8.43761,0.02393,3,8.31111,0.0376100000000008,3,,,,,,,,
